H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,14,2,.667,才木　浩人,5,8,20,0,0,2019,阪　神,70,15,1,0,0,0,0,3,8,4.70
0,0,0,0,3,0,.000,鈴木　翔太,6,5,11,0,0,2018,中　日,44,8,0,1,1,2,0,2,5,5.19
0,0,0,0,115,8,.444,小笠原　慎之介,51,60,141,0,0,2021,中　日,615,143,10,4,16,4,0,25,58,3.64
8,10,0,0,22,2,.667,田島　慎二,6,5,15,0,0,2021,中　日,74,18,1,1,0,0,0,22,5,2.45
1,1,0,0,28,0,.000,橋本　侑樹,8,11,26,0,0,2021,中　日,112,26,0,0,0,1,0,28,11,3.71
14,15,0,0,18,1,.500,谷元　圭介,1,6,23,0,0,2021,中　日,92,22,1,0,3,1,0,32,5,2.01
33,36,8,0,41,3,.600,又吉　克樹,22,11,47,0,0,2021,中　日,245,63,2,0,2,1,0,66,9,1.28
0,0,0,0,168,11,.647,柳　裕也,41,47,133,2,2,2021,中　日,676,172,6,3,11,3,0,26,42,2.20
0,0,0,0,7,0,.000,梅津　晃大,10,3,6,0,0,2021,中　日,51,11,1,1,0,2,0,3,2,1.59
0,0,0,0,10,0,.000,岡田　俊哉,6,9,23,0,0,2021,中　日,74,16,1,0,1,0,0,19,9,4.86
0,0,0,0,118,7,.389,大野　雄大,26,48,121,0,1,2021,中　日,566,143,11,1,12,2,1,22,47,2.95
0,0,0,0,73,5,.333,福谷　浩司,17,55,112,0,1,2021,中　日,432,103,10,3,10,1,1,18,52,4.53
0,0,0,0,4,0,.000,佐藤　優,2,11,13,0,0,2021,中　日,32,5,0,1,1,0,0,4,8,13.50
0,0,0,0,15,0,.000,森　博人,9,4,11,0,0,2021,中　日,58,12,0,2,0,3,0,10,4,3.00
